"Iteration"	"LogProbability"	"CurrentDecryptedText"	"CorrectText"
1	-180.218266945586	"lsps bk kfvs kjvhys zsrz"	0
2	-180.218266945586	"lsps bk kfvs kgvhys zsrz"	0
3	-180.218266945586	"msps bk kfvs kgvhys zsrz"	0
4	-180.218266945586	"msps bk kfvs kgvhes zsrz"	0
5	-180.218266945586	"msps bk kfvs kgvhes zsrz"	0
6	-180.218266945586	"msks bp pfvs pgvhes zsrz"	0
7	-180.218266945586	"msks bp pfvs pgvues zsrz"	0
8	-180.218266945586	"msks bp pfus pguves zsrz"	0
9	-180.218266945586	"msks bp pfus pguvts zsrz"	0
10	-180.218266945586	"msks bp pfus pguvws zsrz"	0
11	-180.218266945586	"msks tp pfus pguvws zsrz"	0
12	-180.218266945586	"nsks tp pfus pguvws zsrz"	0
13	-180.218266945586	"nsks tp pfus pguvws zsrz"	0
14	-180.218266945586	"nsks tp pfus pguvws zsrz"	0
15	-180.218266945586	"nsks tp pfus pguvws zsrz"	0
16	-180.218266945586	"nsks tp pfus pguvbs zsrz"	0
17	-180.218266945586	"nsks tp pfus pguvbs zsrz"	0
18	-180.218266945586	"nsks tp pfus pguvxs zsrz"	0
19	-180.218266945586	"nsks tp pfbs pgbvxs zsrz"	0
20	-180.218266945586	"niki tp pfbi pgbvxi zirz"	0
21	-180.218266945586	"tiki np pfbi pgbvxi zirz"	0
22	-180.218266945586	"tidi np pfbi pgbvxi zirz"	0
23	-180.218266945586	"tidi np pfbi pcbvxi zirz"	0
24	-180.218266945586	"tidi np pfbi pcbwxi zirz"	0
25	-180.218266945586	"tidi np pfbi pcbwxi lirl"	0
26	-180.218266945586	"tidi nj jfbi jcbwxi lirl"	0
27	-180.218266945586	"tidi hj jfbi jcbwxi lirl"	0
28	-180.218266945586	"tidi hj jwbi jcbfxi lirl"	0
29	-180.218266945586	"tidi hj jwbi jcbfyi lirl"	0
30	-180.218266945586	"eidi hj jwbi jcbfyi lirl"	0
31	-180.218266945586	"eisi hj jwbi jcbfyi lirl"	0
32	-180.218266945586	"eici hj jwbi jsbfyi lirl"	0
33	-180.218266945586	"eici hj jwbi jsbzyi lirl"	0
34	-180.218266945586	"yici hj jwbi jsbzei lirl"	0
35	-180.218266945586	"yici hj jwbi jsbzei lirl"	0
36	-180.218266945586	"ypcp hj jwbp jsbzep lprl"	0
37	-180.218266945586	"ypcp hj jwbp jsbzep lprl"	0
38	-180.218266945586	"yrcr hj jwbr jsbzer lrpl"	0
39	-180.218266945586	"yrcr hj jwzr jszber lrpl"	0
40	-180.218266945586	"yrcr hj jwzr jszber lrdl"	0
41	-180.218266945586	"yrcr hj jwzr jmzber lrdl"	0
42	-180.218266945586	"yrcr hj jwzr jmzber lrdl"	0
43	-180.218266945586	"yrcr hj jwzr jmzber lrdl"	0
44	-180.218266945586	"lrcr hj jwzr jmzber yrdy"	0
45	-180.218266945586	"lrcr hj jwzr jmzber yrdy"	0
46	-180.218266945586	"lrcr hj jwzr jmzber yrdy"	0
47	-180.218266945586	"vrcr hj jwzr jmzber yrdy"	0
48	-180.218266945586	"vrcr hj jwzr jmzber yrdy"	0
49	-180.218266945586	"srcr hj jwzr jmzber yrdy"	0
50	-180.218266945586	"srcr hj jwzr jmzver yrdy"	0
51	-180.218266945586	"srcr hu uwzr umzver yrdy"	0
52	-180.218266945586	"srcr hu uwzr umzter yrdy"	0
53	-180.218266945586	"srcr lu uwzr umzter yrdy"	0
54	-180.218266945586	"srcr lu uwzr umzter yrdy"	0
55	-180.218266945586	"srcr lu uwzr umzher yrdy"	0
56	-180.218266945586	"srcr lu uwzr umzher yroy"	0
57	-180.218266945586	"srjr lu uwzr umzher yroy"	0
58	-180.218266945586	"srjr lu uwzr umzher yroy"	0
59	-180.218266945586	"srjr lu uwzr umzher yroy"	0
60	-180.218266945586	"srjr lu uwzr umzher yroy"	0
61	-180.218266945586	"srjr lu uwzr umzhfr yroy"	0
62	-180.218266945586	"srjr lu uwzr umzhfr yroy"	0
63	-180.218266945586	"sryr lu uwzr umzhfr jroj"	0
64	-155.944183873909	"srur ly ywzr ymzhfr jroj"	0
65	-155.944183873909	"srur ly ywzr ymzhfr jroj"	0
66	-153.652403076466	"srur lo owzr omzhfr jryj"	0
67	-153.652403076466	"grur lo owzr omzhfr jryj"	0
68	-153.652403076466	"nrur lo owzr omzhfr jryj"	0
69	-153.652403076466	"nrur lo owgr omghfr jryj"	0
70	-153.652403076466	"nrur lo ocgr omghfr jryj"	0
71	-153.652403076466	"nrur lo ocgr omghfr srys"	0
72	-153.652403076466	"nwuw lo ocgw omghfw swys"	0
73	-152.008114697486	"nwuw do ocgw omghfw swys"	0
74	-152.008114697486	"nwuw do ocgw omgvfw swys"	0
75	-152.008114697486	"nwuw do ocgw omgvfw swys"	0
76	-152.008114697486	"nlul do ocgl omgvfl slys"	0
77	-152.008114697486	"nlul do ocgl omgvfl slhs"	0
78	-152.008114697486	"nlul do ocgl ohgvfl slms"	0
79	-152.008114697486	"nlul do ofgl ohgvcl slms"	0
80	-152.008114697486	"nlul do ofgl ohgvjl slms"	0
81	-152.008114697486	"nlul do ofil ohivjl slms"	0
82	-152.008114697486	"nlul do ofil ohivjl slms"	0
83	-152.008114697486	"nlul do ofil otivjl slms"	0
84	-152.008114697486	"nlul do ofil otivjl slms"	0
85	-152.008114697486	"nlul do ofil otivjl slms"	0
86	-152.008114697486	"nlul do ofil otivjl slms"	0
87	-152.008114697486	"nljl do ofil otivul slms"	0
88	-152.008114697486	"nljl do ofwl otwvul slms"	0
89	-148.39161491754	"nljl to ofwl odwvul slms"	0
90	-148.39161491754	"eljl to ofwl odwvul slms"	0
91	-148.39161491754	"efjf to olwf odwvuf sfms"	0
92	-148.39161491754	"efjf to olwf odwvuf sfms"	0
93	-148.39161491754	"efjf to olwf odwvuf sfms"	0
94	-148.39161491754	"efjf to olwf oywvuf sfms"	0
95	-148.39161491754	"efjf to olwf oywvuf sfas"	0
96	-148.39161491754	"efjf to olwf oywvuf sfas"	0
97	-148.39161491754	"efjf to olwf oywvuf sfas"	0
98	-148.39161491754	"ehjh to olwh oywvuh shas"	0
99	-148.39161491754	"ehgh to olwh oywvuh shas"	0
100	-148.39161491754	"ehgh to olwh oywvuh shas"	0
101	-148.39161491754	"ehgh to olwh oywruh shas"	0
102	-148.39161491754	"ehgh to olwh oywruh shas"	0
103	-148.39161491754	"ehgh to olwh oywruh shvs"	0
104	-148.39161491754	"ehgh to olwh oywruh shvs"	0
105	-148.39161491754	"ehgh to olwh oywruh shvs"	0
106	-148.39161491754	"ehgh to olwh oywruh shvs"	0
107	-148.39161491754	"ehgh to olwh oywruh shvs"	0
108	-148.39161491754	"ihgh to olwh oywruh shvs"	0
109	-148.39161491754	"ihgh to olwh oywruh shvs"	0
110	-148.39161491754	"ihgh to olwh oywreh shvs"	0
111	-148.39161491754	"ihmh to olwh oywreh shvs"	0
112	-148.39161491754	"ihmh to olwh oywreh khvk"	0
113	-148.39161491754	"ihmh to olsh oysreh khvk"	0
114	-148.39161491754	"ihah to olsh oysreh khvk"	0
115	-148.39161491754	"vhah to olsh oysreh khik"	0
116	-148.39161491754	"lhah to ovsh oysreh khik"	0
117	-148.39161491754	"lhsh to ovah oyareh khik"	0
118	-148.39161491754	"lhsh to ovah oyareh khik"	0
119	-148.39161491754	"lfsf to ovaf oyaref kfik"	0
120	-148.39161491754	"wfsf to ovaf oyaref kfik"	0
121	-148.39161491754	"wfsf to ovaf oyarlf kfik"	0
122	-148.39161491754	"wfsf to ovaf oyarlf kfik"	0
123	-148.39161491754	"wfsf to ovaf oyarlf kfik"	0
124	-148.39161491754	"wfsf to ovaf oyarlf kfik"	0
125	-148.39161491754	"wfsf to ovaf oharlf kfik"	0
126	-148.39161491754	"wfsf to ovaf oharlf kfik"	0
127	-148.39161491754	"jfsf to ovaf oharlf kfik"	0
128	-148.39161491754	"jfsf to ovaf oharlf kfik"	0
129	-148.39161491754	"jfsf to ovaf oharlf kfik"	0
130	-148.39161491754	"jfsf to ovaf oharlf kfik"	0
131	-148.39161491754	"jfsf to ovaf oharlf kfzk"	0
132	-148.39161491754	"jfsf to ovaf oharlf kfzk"	0
133	-148.39161491754	"jfsf to ovaf oharmf kfzk"	0
134	-148.39161491754	"jfvf to osaf oharmf kfzk"	0
135	-148.39161491754	"jfvf to osrf ohramf kfzk"	0
136	-148.39161491754	"kfvf to osrf ohramf jfzj"	0
137	-148.39161491754	"kfzf to osrf ohramf jfvj"	0
138	-148.39161491754	"kfzf to osrf ohramf jfbj"	0
139	-148.39161491754	"kfzf to oscf ohcamf jfbj"	0
140	-148.39161491754	"kfzf to oscf ohcamf jfbj"	0
141	-148.39161491754	"kfzf to oscf ohcamf jfyj"	0
142	-148.39161491754	"kfzf to ospf ohpamf jfyj"	0
143	-148.39161491754	"kfzf to ospf ohpamf dfyd"	0
144	-148.39161491754	"kfzf to ospf ohpamf dfyd"	0
145	-148.39161491754	"kfzf to ospf ohpamf dfyd"	0
146	-148.39161491754	"kfzf to ospf orpamf dfyd"	0
147	-148.39161491754	"kfzf to osnf ornamf dfyd"	0
148	-148.39161491754	"kfzf to osnf ornawf dfyd"	0
149	-148.39161491754	"kfzf to osnf ornawf dfyd"	0
150	-148.39161491754	"kfef to osnf ornawf dfyd"	0
151	-148.39161491754	"kfef to osnf ornawf dfyd"	0
152	-148.39161491754	"efkf to osnf ornawf dfyd"	0
153	-148.39161491754	"efkf to osnf ornauf dfyd"	0
154	-148.39161491754	"efkf to osnf ounarf dfyd"	0
155	-148.39161491754	"efkf to osnf ounarf dfyd"	0
156	-148.39161491754	"efkf to onsf ousarf dfyd"	0
157	-148.39161491754	"efkf to onsf ousarf dfyd"	0
158	-148.39161491754	"efkf to onsf ousarf dfwd"	0
159	-148.39161491754	"efqf to onsf ousarf dfwd"	0
160	-148.39161491754	"efqf to ogsf ousarf dfwd"	0
161	-148.39161491754	"efqf to ogsf ousarf dfwd"	0
162	-148.39161491754	"efqf to ogsf ousalf dfwd"	0
163	-148.39161491754	"efqf to ogsf ousalf dfwd"	0
164	-148.39161491754	"efqf to ogsf ousalf dfwd"	0
165	-148.39161491754	"efqf to ogsf ouslaf dfwd"	0
166	-148.39161491754	"qfef to ogsf ouslaf dfwd"	0
167	-148.39161491754	"qfef to ogsf ouslaf dfwd"	0
168	-148.39161491754	"qfef to ogvf ouvlaf dfwd"	0
169	-148.39161491754	"qfef to ogvf ouvlaf dfwd"	0
170	-148.39161491754	"qfef to ogvf ouvlaf dfwd"	0
171	-148.39161491754	"qfef to ogvf ouvlaf dfwd"	0
172	-148.39161491754	"hfef to ogvf ouvlaf dfwd"	0
173	-148.39161491754	"hfef to ogvf ojvlaf dfwd"	0
174	-148.39161491754	"hfef to ogvf ojvlaf dfwd"	0
175	-148.39161491754	"hfef to ogvf ojvlaf dfqd"	0
176	-148.39161491754	"hcec to ogvc ojvlac dcqd"	0
177	-148.39161491754	"hcec to ogvc ojvlac dcqd"	0
178	-148.39161491754	"hcec to ogvc ojvlac dcqd"	0
179	-148.39161491754	"hcec to ogvc ojvlac dcqd"	0
180	-148.39161491754	"hcec to ogvc ojvlac dcqd"	0
181	-148.39161491754	"hcec to ogvc ojvlac dcqd"	0
182	-148.39161491754	"hcec to ogvc ojvlac dcqd"	0
183	-148.39161491754	"hcgc to oevc ojvlac dcqd"	0
184	-148.39161491754	"hcgc to oevc ojvlac dcqd"	0
185	-148.39161491754	"hcxc to oevc ojvlac dcqd"	0
186	-148.39161491754	"hcxc to oevc ojvlac dcqd"	0
187	-148.39161491754	"hcxc to oegc ojglac dcqd"	0
188	-148.39161491754	"hcxc to oegc ojglac dcqd"	0
189	-148.39161491754	"hcxc to oegc ojglac dcqd"	0
190	-148.39161491754	"hcxc to oegc onglac dcqd"	0
191	-148.39161491754	"hcxc to oegc onglac dcqd"	0
192	-148.39161491754	"hcxc to oegc onglac qcdq"	0
193	-148.39161491754	"hcxc to oegc ongmac qcdq"	0
194	-148.39161491754	"hcxc to oegc ongmac qcdq"	0
195	-148.39161491754	"hcxc to oegc ongmac qcdq"	0
196	-148.39161491754	"hcxc to oegc ongmac qcdq"	0
197	-148.39161491754	"hcxc to oegc ongmac qcdq"	0
198	-148.39161491754	"hcxc to oegc ongmac qcjq"	0
199	-148.39161491754	"hcxc to oegc ongmac qcjq"	0
200	-148.39161491754	"hcxc to oegc ongmac qcjq"	0
201	-148.39161491754	"hcxc to oegc owgmac qcjq"	0
202	-148.39161491754	"hcxc to oegc owgmac qcjq"	0
203	-148.39161491754	"hcxc to oemc owmgac qcjq"	0
204	-148.39161491754	"hcxc to oemc owmgyc qcjq"	0
205	-148.39161491754	"hcxc to oemc owmgyc qcjq"	0
206	-148.39161491754	"hcxc to oemc owmgyc qcjq"	0
207	-148.39161491754	"hcxc to oemc ormgyc qcjq"	0
208	-148.39161491754	"ucxc to oemc ormgyc qcjq"	0
209	-148.39161491754	"cuxu to oemu ormgyu qujq"	0
210	-148.39161491754	"cuxu to oemu ormgyu qujq"	0
211	-148.39161491754	"cuxu to oemu ojmgyu qurq"	0
212	-148.39161491754	"cuxu to oemu ojmgyu qurq"	0
213	-148.39161491754	"cuxu to oemu ojmgyu qurq"	0
214	-148.39161491754	"cuxu to oemu ojmgyu qurq"	0
215	-148.39161491754	"cuxu to oemu ojmgyu burb"	0
216	-148.39161491754	"cuxu to oemu ojmgyu burb"	0
217	-148.39161491754	"cjxj to oemj oumgyj bjrb"	0
218	-148.39161491754	"cjxj to oemj oumgyj bjrb"	0
219	-148.39161491754	"cjxj to oenj oungyj bjrb"	0
220	-148.39161491754	"cjxj to oenj oungyj bjrb"	0
221	-148.39161491754	"cjxj to oenj ovngyj bjrb"	0
222	-148.39161491754	"cjxj to oepj ovpgyj bjrb"	0
223	-148.39161491754	"cjxj to oekj ovkgyj bjrb"	0
224	-148.39161491754	"cjwj to oekj ovkgyj bjrb"	0
225	-148.39161491754	"cjwj to oevj okvgyj bjrb"	0
226	-148.39161491754	"cjwj to oevj okvgyj bjrb"	0
227	-148.39161491754	"cjwj to oevj okvgyj bjrb"	0
228	-148.39161491754	"cjwj to oevj okvgyj bjxb"	0
229	-148.39161491754	"cjwj to oevj okvgyj bjxb"	0
230	-148.39161491754	"cjwj to oevj okvgyj bjxb"	0
231	-148.39161491754	"cjsj to oevj okvgyj bjxb"	0
232	-148.39161491754	"cjsj to oevj okvgyj bjxb"	0
233	-148.39161491754	"cjsj to oevj okvgyj bjxb"	0
234	-150.861307852222	"cjsj no oevj okvgyj bjxb"	0
235	-150.861307852222	"cjsj no oxvj okvgyj bjeb"	0
236	-150.861307852222	"cjsj no oxvj okvgyj bjeb"	0
237	-150.861307852222	"cjsj no olvj okvgyj bjeb"	0
238	-150.861307852222	"cjsj no olvj okvgyj bjeb"	0
239	-150.861307852222	"cjkj no olvj osvgyj bjeb"	0
240	-150.861307852222	"cjkj no olij osigyj bjeb"	0
241	-150.861307852222	"csks no olis ojigys bseb"	0
242	-150.861307852222	"csks no ohis ojigys bseb"	0
243	-150.861307852222	"csks no ohis ojigys bseb"	0
244	-150.861307852222	"csks no ohis ojigys bseb"	0
245	-150.861307852222	"csks no ohis ojigys bseb"	0
246	-150.861307852222	"csks no ohis ojigys bsab"	0
247	-150.861307852222	"cyky no ohiy ojigsy byab"	0
248	-150.861307852222	"cyky no ohiy ojigsy eyae"	0
249	-150.861307852222	"ceke no ohie ojigse yeay"	0
250	-150.861307852222	"ceke no ohie ojigde yeay"	0
251	-150.861307852222	"ceme no ohie ojigde yeay"	0
252	-150.861307852222	"ceme no ohie ojigde yeay"	0
253	-150.861307852222	"ceme no ohie ojigde yeby"	0
254	-150.861307852222	"czmz no ohiz ojigdz yzby"	0
255	-150.861307852222	"cztz no ohiz ojigdz yzby"	0
256	-150.861307852222	"cztz no ohiz ojigdz yzby"	0
257	-150.861307852222	"cztz no ohiz ojigdz yzby"	0
258	-150.861307852222	"cztz no ohiz ojigdz yzuy"	0
259	-150.861307852222	"cztz no ohiz ojigdz yzuy"	0
260	-150.861307852222	"cztz no ohiz ojigdz yzuy"	0
261	-150.861307852222	"cztz no ohiz ojigdz yzuy"	0
262	-150.861307852222	"czkz no ohiz ojigdz yzuy"	0
263	-150.861307852222	"czkz no ohiz oqigdz yzuy"	0
264	-150.861307852222	"azkz no ohiz oqigdz yzuy"	0
265	-150.861307852222	"azkz no ohiz oqigdz yzuy"	0
266	-149.360364341404	"azkz on nhiz nqigdz yzuy"	0
267	-149.360364341404	"azkz on nhiz nqigdz yzxy"	0
268	-149.360364341404	"azjz on nhiz nqigdz yzxy"	0
269	-149.360364341404	"azjz on nhiz nqigdz yzxy"	0
270	-149.360364341404	"azjz on nhiz nqigdz yzxy"	0
271	-149.360364341404	"azjz on nhiz nqigdz yzxy"	0
272	-149.360364341404	"azjz on nhiz nqigdz yzxy"	0
273	-149.360364341404	"azjz on nhiz nqigdz yzxy"	0
274	-149.360364341404	"azjz on nhiz nqigdz ezxe"	0
275	-149.360364341404	"azjz on nhiz nqigxz ezde"	0
276	-149.360364341404	"azjz on nhiz nqigmz ezde"	0
277	-149.360364341404	"azjz on nhiz nqigmz ezde"	0
278	-149.360364341404	"azjz on nhiz nqigmz ezde"	0
279	-149.360364341404	"aqjq on nhiq nzigmq eqde"	0
280	-149.360364341404	"aqjq on nhiq nzifmq eqde"	0
281	-149.360364341404	"aqjq on nhiq nzifmq eqde"	0
282	-149.360364341404	"aqjq on nhiq nzifmq eqde"	0
283	-149.360364341404	"aqjq on nhiq nkifmq eqde"	0
284	-149.360364341404	"aqjq on nhiq nkismq eqde"	0
285	-149.360364341404	"aqjq on nhiq nkismq eqde"	0
286	-149.360364341404	"amjm on nhim nkisqm emde"	0
287	-149.360364341404	"amjm on nhim nkisqm emde"	0
288	-149.360364341404	"amjm on nhtm nktsqm emde"	0
289	-149.360364341404	"amjm on nhtm nktsqm emde"	0
290	-149.360364341404	"amjm on nhtm nktsqm umdu"	0
291	-149.360364341404	"amjm on nitm nktsqm umdu"	0
292	-149.360364341404	"amjm on nitm nctsqm umdu"	0
293	-149.360364341404	"dmjm on nitm nctsqm umau"	0
294	-149.360364341404	"dmjm on nitm nctsqm umwu"	0
295	-149.360364341404	"dmjm on niem ncesqm umwu"	0
296	-149.360364341404	"dmjm on niem ncesqm umwu"	0
297	-149.360364341404	"cmjm on niem ndesqm umwu"	0
298	-133.604309746981	"cmjm od diem dnesqm umwu"	0
299	-133.604309746981	"cmjm od diem dneuqm smws"	0
300	-133.604309746981	"cmjm od diem dneuqm smws"	0
301	-133.604309746981	"cmsm od diem dneuqm jmwj"	0
302	-133.604309746981	"zmsm od diem dneuqm jmwj"	0
303	-133.604309746981	"zmsm od diem dxeuqm jmwj"	0
304	-133.604309746981	"zmhm od diem dxeuqm jmwj"	0
305	-133.604309746981	"zmhm od diem dxeuqm jmwj"	0
306	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
307	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
308	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
309	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
310	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
311	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
312	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
313	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
314	-133.604309746981	"zmam od diem dxeuqm jmwj"	0
315	-133.604309746981	"zmam od diem dxeuqm lmwl"	0
316	-133.604309746981	"zmam od diem dxeugm lmwl"	0
317	-133.604309746981	"zmam od diem dxeugm lmwl"	0
318	-133.604309746981	"zmam od diem dxeugm lmwl"	0
319	-133.604309746981	"zmam od diem dxeugm rmwr"	0
320	-133.604309746981	"zmam od diem dxeugm rmwr"	0
321	-133.604309746981	"zmam od diem dxeugm rmwr"	0
322	-133.604309746981	"zmam od diem dxeugm rmwr"	0
323	-133.604309746981	"zmam od diem dxeugm rmwr"	0
324	-133.604309746981	"zmam od diem dxeugm rmwr"	0
325	-133.604309746981	"zmam od diem dxeugm rmwr"	0
326	-133.604309746981	"zmam od diem dxefgm rmwr"	0
327	-133.604309746981	"zmam od diem dxefgm qmwq"	0
328	-133.604309746981	"zmam od diem dxefum qmwq"	0
329	-133.604309746981	"zmam od diem dxefum qmwq"	0
330	-133.604309746981	"zmam od diem dxefum qmwq"	0
331	-133.604309746981	"zmam od diem dxefum qmwq"	0
332	-133.604309746981	"zmam od diem dxefum qmnq"	0
333	-133.604309746981	"zmam od diem dxefum qmnq"	0
334	-133.604309746981	"zmam od diem dxefum qmnq"	0
